,title_amzn,description_amzn,manufacturer_amzn,price_amzn,id_amzn
335,microsoft visual studio team suite 2005 with msdn premium (cd & dvd),microsoft visual studio team suite 2005 programs with msdn premium represents one of the most significant developer tools releases since the introduction of visual studio nearly a decade ago. it offers developers of all types a wider spectrum of development possibilities and a greatly advanced design experience. team foundation server can track the versions of files under source control keep a record of their change history. view larger. easily find track and view bugs by using the bug list report. view larger. team edition for software architects includes the new application designer a visual design surface that helps software architects design configure implement and deploy service-oriented applications. view larger. the data that visual studio team system collects from the on-chip performance counters describes how your code behaves at its lowest level -- literally how the machine code is performing. view larger. microsoft visual studio team system is an entirely new series of productive integrated life-cycle tools that help development teams communicate and collaborate more effectively. it provides tools to support the entire software development team -- software architects developers and testers -- for a far more efficient development process. combining visual studio team system role-based products into an integrated suite of applications that address the needs of multifunctional roles in an organization the visual studio 2005 team suite includes team edition for software architects team edition for software developers and team edition for software testers. included is an msdn premium subscription that provides continuous priority access to the technologies you need to support visual studio team system and build a broad range of applications and web services. visual studio team system also includes the microsoft solutions framework (msf). msf is a highly customizable scalable fully integrated set of software development processes principles and proven practices designed to deliver the type of guidance desired by the user when and where it is needed. msf provides a seamless experience with visual studio team system for process automation and guidance within the software development life cycle. a better way to collaboratei today's software systems comprise numerous distributed services spanning platforms protocols programming languages and even geographies. successful deployment of advanced solutions depends on bridging the communication gap between development and operations so that the entire it department is represented early and often throughout the software life cycle. visual studio team system offers tightly integrated and extensible tools that enable software development teams to develop more efficiently by improving communication and collaboration throughout the development process. with team suite the project manager testers developers and architect know where they are on the project at all times. that means less time in meetings and on e-mail or the phone and more time delivering high quality. visual studio team features visual studio team system features a world-class development environment built on top of visual studio 2005 professional edition. with team system you can publish and administer web sites more easily with the powerful combination of asp .net 2.0 and visual studio 2005. with the built-in publishing features such as integrated file transfer protocol (ftp) you can keep files in your local project and synchronize them with files located on a remote web server. visual studio automatically logs copied files which helps you to identify whether the remote site has been updated with the latest files. and to help protect your site and your ip you can precompile a web site to publish only executable code no source files to your production server. team system also gives you the ability to clean all those unwanted files out of your solution in a one-click operation. simply choose clean solution from the build menu and all the intermediate files and output directories in your whole solution will be removed. the deployment designer in team edition for software architects allows application designs to be validated for deployment within a particular datacenter identifying possible issues before the deployment begins. service oriented applications often involve multiple components that may reside on different servers and have a variety of configuration and communication requirements. the team edition for software architects deployment designer can be used to validate an application for deployment in a particular datacenter. validation detects many common deployment issues allowing the development team to resolve them before deployment occurs. this has the potential to greatly reduce the complexity of service oriented application deployments. visual studio team edition for testers provides the ability to gather and store detailed information about how an application performs under different types of load. team edition also lets you customize visual studio with your own internal tools or use supplemental products from more than 190 microsoft partners optimizing your team's development flexibility. msdn premium subscriptions visual studio 2005 team suite also includes an msdn premium subscription. an msdn premium subscription provides continuous priority access to the technologies you need to support visual studio team system and build a broad range of applications and web services including the latest versions of windows server 2003 windows 2000 server windows 2000 professional windows 2000 advanced server windows xp professional edition windows xp home edition and future windows releases. (usage rights are limited to development and testing only.) with the subscription your technical support includes unlimited usage of msdn managed newsgroups for online support with a guaranteed response time of two business days phone-based support incidents and free access to msdn online concierge for nontechnical questions regarding navigation of the msdn site knowledge base article searches and msdn subscriber downloads. also continuously updated technical content is available through the msdn library which offers comprehensive programming information code samples sample applications technical documentation and articles and the microsoft developer knowledge base.,microsoft,10949.0,b000barbaq
336,media studio for psp standard editon,media studio for psp standard editon (win 98 me 2000 xp),encore software,29.99,b000bc38o2
337,scholastic brain play: pre-kindergarten - 1st grade,scholastic's brain play preschool-1st grade is designed for growing young minds. these games will develop essential learning skills that children need most. they'll pick up important reading math logic and typing skills. special workbooks reinforce the lessons and build stronger skills through practice.,topics entertainment,19.99,b000bcdrdo
339,best of card games (jewel case),best of card games features over 150 different card games for all ages and skill levels. enjoy 150 many variations of solitaire poker blackjack rummy pinochle hearts spades euchre cribbage oh hell fan tan spite and malice canasta and whist. there's also five classic games especially for kids & over 100 solitaire games. with enhanced graphics multiple skill levels customizable cards and backgrounds plenty of hinst and tips in each game -- you've got everything you need to have a great time! includes all these classics: euchre rummy cribbage pinochle whist canasta oh hell fan tan spite and malice,on hand software,9.99,b000bcicr0
340,stuffit deluxe v 10.0 (mac),stuffit deluxe 10 is the latest version of this innovative data compression access and management tool for mac os x. this release includes patent pending jpeg compression technology allowing users to compress jpeg images and photos up to 30% with no loss in image quality. the only previous solution available for those looking to reduce the size of jpeg images was to further reduce the quality of the image. stuffit's jpeg compression technology provides a new solution that offers smaller files without any penalty of reduced picture clarity. the product also allows users to view thumbnails for archived jpeg images without requiring them to decompress the archive. stuffit deluxe also offers new features that seamlessly integrate with mac os x 10.4 tiger. the included spotlight importer allows spotlight to index file names for items stored inside stuffit zip and tar archives. when the user performs a search spotlight will now list all the archives on the user's computer that contain files that match the search terms. stuffit deluxe 10 also includes support for tiger' s new automator scripting tool allowing users to compress and expand stuffit zip and tar archives as part of their automator workflows.,smith micro software,79.99,b000bcicwa
341,mavis beacon teaches typing deluxe v17,mavis beacon teaches typing 17 deluxe brings back the classic typing tutorial. let mavis beacon monitor your typing skills as you complete the wide range of lessons and exercises included here. the software monitors your progress flagging your weak spots and offering challenging lessons to help you improve your keyboard skills. download lessons to your palm pilot for easy portable practice sessions straighten up your keyboarding skills -- correct your posture and physical alignment with ergonomic evaluation videos includes bonus software - perfect and update your résumé with the print shop resume pro for pc,encore software,39.99,b000bckm7i
343,stationery design studio,"stationary design studio is the perfect tool creating great-looking stationary that fits your business or personal needs. add elements of design photos and personlized text and fonts to print out attractive unique personal documents. \',",summit software,19.99,b000bckmaa
344,world book encyclopedia 2006,the world book encyclopedia 2006 is a truly student-friendly cd reference resource. it's been thoroughly updated with thousands of revised articles and hundreds of new entries maps tables and illustrations. superior navigation with clear labeling and easily accessible entries helps young scholars retrieve crucial information. includes: 56 animations and simulations 2 241 tables and timelines 10 643 photo and illustrations 640 new illustrations and maps 267 new articles 42 new table 4 000+ newly revised entries,topics entertainment,19.99,b000bcz8ng
345,web radio recorder,,magix entertainment,0.0,b000bddf08
346,neuratron photoscore professional 4,,sibelius software ltd.,199.99,b000bdiqpc
347,imsi turbocad designer v.11,the fastest easiest way to design!product informationit's easy to bring your wildest design ideas to life with turbocad's powerfulvisualization tools.&nbsp; create professional 2d sketches and precisiondrawings that are sure to impress.&nbsp; the best par,imsi,39.99,b000bezsyi
348,instant immersion japanese deluxe 2.0,topics entertainment instant immersion japanese deluxe 2.0 from the publisher of the nations 1 selling instant immersion language line comes instant immersion japanese deluxe a comprehensive approach to language study focusing on listening reading and writing. emphasizing the euro method - the best process for learning to speak a foreign language quickly this 8 cd suite combines an immersion environment with brand-new curriculum that will quickly move you from a beginner to an advanced student. windows and xp pc only,topics entertainment,39.99,b000bgpqos
349,instant immersion german deluxe 2.0,manufacturer warranty:andnbsp;andnbsp;90 days,topics entertainment,39.99,b000bgpqr0
350,instant immersion spanish deluxe 2.0,topics entertainment instant immersion spanish deluxe 2.0. you set the pace for learning with this series of personalized beginner intermediate and advanced programs. with entertaining instruction on 20 key lessons including vocabulary grammar and phonetics you will quickly start speaking reading and writing spanish windows & xp pc only,topics entertainment,49.99,b000bgtv80
352,microsoft sql server developer edition 2005 cd/dvd,achieve higher levels of database scalability with sql server 2005 (64-bit) the enterprise-class database optimized to run on x64- or itanium-based servers and microsoft windows server 2003. the 64-bit features are available on sql server 2005 standard enterprise and developer editions.,microsoft software,49.95,b000bhq5jw
353,sims 2 university expansion pack,expansion pack; requires sims 2 to run in the sims 2: university you'll get a chance to take your sim to college. watch as they enjoy their newfound freedom -- they'll party with friends join fraternities and sororities and pull outrageous pranks. help them fulfill new lifetime goals to unlock more rewards and reap all of the benefits of their university years.,aspyr media,34.99,b000bi641a
354,espro + interpretair s/w,- marketing information: interpretair provides wireless lan installers and network professionals with the vision they need to plan deploy verify and document their 802.11a/b/g wlan networks. interpretair is a wireless site survey tool and much more; it provides visualization of rf health metrics greatly simplifying wlan environment analysis and enabling performance tuning. discover where and why wlan network performance is sub-optimal and take action; proactively addressing problems that could affect mobile application performance. product information - software sub type: network connectivity/management - software name: interpretair wlan survey - complete product - features and benefits: planning and simulation: - simulate wlan performance using interpretair software prior to installing any live wireless lan equipment. define environmental characteristics such as wall construction materials access point power configuration and antenna selection to view how subtle changes may affect wlan performance before installing a single access point. verification and reports: - physical changes in the enterprise can affect rf performance. the interpretair software integrated report generator automatically creates comprehensive site survey documentation that can be recalled for future analysis and comparison rf health: - interpretair software takes rf site survey analysis to a new level by enabling visualization of multiple measurement criteria in a single view,fluke networks,5750.6,b000bi7uqs
355,super collapse 3,explore the world of super collapse 3! in this exciting new quest your journey will take you through ten different realms -- with many stops along the way. visit the shop in each town to purchase power-up items to help you in your quest. for a distraction take in ten entertaining new games in the casino of each town. you can play the classic collapse! games that you know and love along with three new challenging modes. challenge yourself to the new slider continuous and countdown modes. how long can you survive?,mumbo jumbo,19.99,b000bi8m2e
356,instant immersion italian deluxe 2.0,topics entertainment instant immersion italian deluxe 2.0 you set the pace for learning with this series of personalized beginner intermediate and advanced programs. with entertaining instruction on 20 key lessons including vocabulary grammar and phonetics you will quickly start speaking reading and writing italian windows & xp pc only,topics entertainment,49.99,b000bknncq
357,allume aquazone seven seas deluxe,aquazone seven seas deluxe is the world's greatest fish tank. have you always dreamed of owning a aquarium filled with exotic fishes and sea life -- but didn't want the time cost and maintenance of a real tank? well with aquazone seven seas deluxe your dream has come true! it delivers a state-of-the-art virtual aquarium on your machine -- one so lifelike you'll swear the fish are alive.,allume,38.89,b000bljed2
358,movies on psp,x-zoom movies on psp is the first commercial video & dvd software for the sony psp. it enables you to quickly convert your dvds or movie files into a format your psp can read and understand. get the best possible picture and audio quality for 10 different input formats: dvd (s)vcd divx avi wmv real mpeg and quicktime. over 10 presets make conversion easy and the fit-to-stick technology resizes movie files to your memory stick size.,x-oom,0.0,b000bnb72g
359,hallmark card studio 2006,hallmark card studio 2006 helps you design greeting cards for life's special moments. with this software it's easier than ever to create one-of-a-kind hallmark cards as unique as the people you care for. the artistic possibilities are almost infinite!,sierra home,29.99,b000bndghk
360,sudoku puzzle addict,sudoku puzzle addict ( windows ) is the hot new puzzle game that millions are playing. all over the world people are getting into sudoku -- now more than 3 years' worth of newspaper puzzles are collected here to challenge beginners and longtime players alike. the game is easy to learn but difficult to master. fill in the missing numbers in a puzzle grid so the 3x3 grid contains each number from 1 to 9 without repeating. no calculations or advanced math is needed. it's all about logic and critical thinking - the elements that make a great puzzle game fun! save or pause with unfinished puzzles,global software publishing north america inc,6.99,b000bndgzw
361,professor fuji's sudoku (jewel case),we love puzzles. sudoku is an attractive and intriguing puzzle that is gaining attention (and addicts) all over the world. professor fuji's sudoku shows you how to start playing and solving sudoku puzzles. then there are hundreds of sudoku puzzles to continue challenging your brain. it's addictive fun. it would be nice to explain the ancient derivatives of this game with an exotic asian name but its origins are relatively recent. originally called simply number place the first puzzle was created by howard garns a freelance puzzle constructor in 1979. the puzzle was first published in new york in the late 1970s by the specialist puzzle publisher dell magazines in its magazine dell pencil puzzles and word games under the title number place. the puzzle was introduced in japan by nikoli in the paper monthly nikolist in april 1984. the puzzle was named by kaji maki the president of nikoli. at a later date the name was abbreviated to sudoku (pronounced sue-do-koo; su = number doku = single); in 1986 nikoli introduced two innovations which guaranteed the popularity of the puzzle: the number of givens was restricted to no more than 30 and puzzles became symmetrical (meaning the givens were distributed in rotationally symmetric cells). it is now published in mainstream japanese periodicals.,encore software,9.99,b000bnjmnc
362,sound studio 3: record edit add effects to audio (mac),sound studio 3 is an easy-to-use mac os x application for recording and editing audio digitally on your computer. digitize vinyl records and tapes record live performances create your own mixes with crossfades tweak the levels and eq apply digital and save in all major file formats with sound studio. a perfect accessory to create and customize your own itunes tracks!,freeverse software,79.99,b000bnkbdm
363,singleclick network now! pro,network now! pro (win 98 me 2000 xp),encore software,39.99,b000bo9rt0
365,computrace lojack for laptops: 3 year subscription,with computrace lojack for laptops you'll be able to track a stolen laptop anywhere! every 53 seconds a laptop is stolen - this recovery service enables law enforcement to recover stolen laptops the minute thieves go online. you'll have information on your laptop's wherabouts as soon as it goes missing. protect your computer today with lojack for laptops.,absolute software,99.99,b000brczzk
366,computrace lojack for laptops - 4 year subscription,with computrace lojack for laptops you'll be able to track a stolen laptop anywhere! every 53 seconds a laptop is stolen - this recovery service enables law enforcement to recover stolen laptops the minute thieves go online. you'll have information on your laptop's wherabouts as soon as it goes missing. protect your computer today with lojack for laptops.,absolute software,119.99,b000brgbpa
367,computrace lojack for laptops: 1 year subscription,with computrace lojack for laptops you'll be able to track a stolen laptop anywhere! every 53 seconds a laptop is stolen - this recovery service enables law enforcement to recover stolen laptops the minute thieves go online. you'll have information on your laptop's wherabouts as soon as it goes missing. protect your computer today with lojack for laptops.,absolute software,49.99,b000brm3xe
369,art (dvd) (pc & mac),the art dvd collects a world of creativity for your perusal. see and feel the emotions of art and the famous (and not so famous) artists who created it all. expand your knowledge of art understand the language of paintings and get truly prepared for your next visit to the art museum!,fogware publishing,29.99,b000bs2vzs
370,totally spies: total swamp romp (pc & mac),in totally spies you'll control the girls of woohp: the world organization of human protection. just like in the cartoons you'll lead these beverly hills girls on a mission to stop a global crisis. infiltrate chemical sites pursue criminals on a snow bike save hostages and protect celebrities -- all without breaking a nail.,brighter minds media inc.,19.99,b000bs5ibm
371,history (dvd) (pc & mac),the history dvd takes you on a journey back in time as you learn about life in the past -- and the people and events that shaped it before you were born. world and u.s. history included.,fogware publishing,0.0,b000bsfs3k
372,microsoft visual studio team edition for software testers 2005 w/msdn premium renewal,in the past testing tools were kept separate from development tools or were poorly integrated with development tools. testers used a separate environment and the test scripts that they wrote were stored in a separate repository from source code control. microsoft visual studio team edition for software testers 2005 with msdn premium introduces a set of test tools that are integrated into the visual studio 2005 environment including web tests load tests manual tests and unit tests. (team edition for software testers can be purchased separately or as part of the visual studio team suite 2005 suite of programs.) network impersonation load testing simulates users accessing the application using a mix of network connections. view larger. besides the predefined test types; web load unit manual and ordered visual studio 2005 includes a generic test type that can be used to extend testing capabilities. view larger. browser impersonation allows testers to a heterogeneous browser mix when testing load against a web application. view larger. a new way to test in the past because testing tools were kept separate from development tools feedback was sometimes challenging bugs were hard to trace down when separate systems were used and performance testing was usually done after the development cycle was near complete. all of this added cost time and ultimately stress to the development lifecycle. team edition for software testers addresses these issues by integrating and streamlining the testing process into your entire development cycle. with team edition for software testers you can reduce the complexity of testing applications by offering access to advanced testing tools and features from within the visual studio integrated development environment (ide) to create and run tests. by providing all members of a software team access to an overall shared warehouse for integrated feedback and reporting you can tightly integrate testing into their software development collaboration. team edition for software testers lets you accurately simulate production workloads in different environments analyze and troubleshoot bottlenecks prior to deployment and use cost-effective cpu based load agent licensing to simulate virtual users. you can also quickly automate and run tests by creating customizable and dynamic web tests using the web test recorder. this allows you to create commonly used tests using out-of-the-box test types or extend your test framework using generic tests. team edition for software testers features visual studio team test consists of three main areas -- testing types testing environment and extensibility. team edition for software testers offers tester's access to advanced testing tools and features from one easy location. a number of core test types -- including unit web load and manual tests -- as well as the measurement of code coverage are now integrated into visual studio 2005 making it easier then ever before for testers to be an integral part of the development process. because team edition for software testers is tightly integrated within the visual studio 2005 team system software testers can publish results to a common database generate trend and historical reports compare data and determine the number and type of bugs identified as a result of testing. deep integration into the current developer environment along with the traditional project types make it easier for all participants of the development team to access and share information. and by offering a rich extensible infrastructure for customers and third-parties to build upon team edition for software testers includes an infrastructure that allows for two levels of extensibility. the first is designed for individual testers and the second is designed for those who need to extend visual studio. by providing an open architecture visual studio 2005 team system allows for current and future test types from both internal testing staff and external partners to be added. team edition for software testers also features a suite of new test tools. all tests including unit web load and manual testing are first-class citizens in visual studio and can be shared across the organization. the test results can be published to a database and you can generate trend and historical reports compare different kinds of data see how many and which bugs were found as a result of testing and identify which bugs are not linked to a test that could help reproduce them. other advanced features include an automated and data-driven unit testing capability for the developer; efficient load test generation with easy deployment of test code and reverse deployment of logs and test results; parallel functional test execution with code coverage load test monitor and performance counters for analysis; customizable auto generated web tests; and custom validation and extraction rules and the web test plug-in that can call code during a test run. msdn premium subscriptions team edition for software testers includes an msdn premium subscription. an msdn premium subscription provides continuous priority access to the technologies you need to support team edition for software testers and build a broad range of applications and web services including the latest versions of windows server 2003 windows 2000 server windows 2000 professional windows 2000 advanced server windows xp professional edition windows xp home edition and future windows releases. (usage rights are limited to development and testing only.) with the subscription your technical support includes unlimited usage of msdn managed newsgroups for online support with a guaranteed response time of two business days phone-based support incidents and free access to msdn online concierge for nontechnical questions regarding navigation of the msdn site knowledge base article searches and msdn subscriber downloads. also continuously updated technical content is available through the msdn library which offers comprehensive programming information code samples sample applications technical documentation and articles and the microsoft developer knowledge base. customers who qualify for the renewal price include current subscribers to: any visual studio team edition with msdn premium subscription msdn universal,microsoft software,2309.0,b000bt559q
373,upgrade delphi 2006 pro named fr delphi v3-2005 pro - cd,delphi developers know the value of small agile teams. for years they have outperformed larger development organizations through skill expertise and the right choice of tools. delphi 2006 provides the ultimate productivity force multiplier eliminating tedium and maximizing coding efficiency through a revolutionary enterprise core objects (eco) framework an enhanced visual component library and a fully integrated suite of modeling and alm tools. part of borland developer studio delphi 2006 also includes complete rad support for c++ and c in addition to delphi win32 and delphi .net programming languages. borland delphi professional is designed for individual developers isvs and smaller organizations building desktop and web applications with local database connectivity. new in delphi 2006 the professional edition now includes select eco features that provide common desktop application services such as object-relational mapping and transparent local xml object persistence.,borland international,0.0,b000btas3y
374,dance praise with dance pad (win/mac),turn your computer into a dance arcade with top christian hits! get ready for hours of family fun with music worth listening to! simply plug in the interactive dance pad into the usb port of your computer and start movin' and groovin' to over 50 christian songs from your favorite artists.includes music from your favorite christian artists: 4th avenue jones'andy hunteraudio adrenalinebleachdavid crowder* banddj majearthsuithawk nelsonjohn reubenliquidnewsboysout of edenpax217sanctus realsarah kellyseven day jesusstarfieldsteven curtis chapmanthe benjamin gatethe elmsthe katinastobymacverbszoegirl,digital praise,39.99,b000bu7u48
375,elementary school success deluxe 2006,unparalleled primary school content from arithmeticto zoology! grades 1 - 6product informationintroducing elementary school success deluxe the leading-edge suite of softwaretools for the personal computer. providing all elementary students with&nbsp; a,topics entertainment,49.99,b000buqo9a
376,math success deluxe 2006,,topics entertainment,49.99,b000butd6q
377,backup exec 10d win adv disk v10.1 lic only (e180518),general information - manufacturer: symantec corporation. - manufacturer part number: e180518 - marketing information: enables faster backups and restores through advanced disk-based backup and recovery including synthetic and off-host backups to perform zero impact backups. synthetic backups reduce backup windows and network bandwidth requirements and do not impact the original client. additionally synthetic backups allow for quick client restore from a single backup image to reduce the number of tapes and eliminate the need to restore from incremental backups. the off-host backup feature enables better backup performance and frees the remote computer by processing the backup operation of the remote computer on a backup exec media server instead of on the remote computer or host computer. product information - software type: backup and recovery - software name: backup exec 10d v.10.1 for windows servers advanced disk-based backup option - complete product - features and benefits: - full windows file system support - cluster configuration wizard - microsoft tape format read/write - microsoft operations manager support - graphical user interface / administration console - central admin server option - remote agent for linux and unix servers - desktop and laptop option - support for remote 64-bit windows systems - support for exchange server 2003 - support for sql 64-bit servers - support for oracle 10g - task wizards - backup via specified bac,symantec corporation.,983.34,b000bw7kxw
378,professor fujis sudoku deluxe by encore,- marketing information: puzzle fanatics! get ready for your next mission: sudoku! fill in the empty cells one number in each so each column row and region contains the numbers 1 through 9 exactly once. sounds easy right... wrong. product information - software sub type: educational game - software name: professor fujiandquot;s sudoku deluxe - complete product - features and benefits: - 100 000 hand crafted puzzles - 16 different grid themes - 3 levels of play - pausable timer - fully integrated puzzle solver solves all grids - export puzzle and answers as a jpeg for emailing to friends - play with letters numbers or colors - printable puzzles - cheat mode - bosskey to hide your games! - game rating: esrb - e - (everyone) - platform support: pc license information - license type: complete product - license pricing: standard - license quantity: 1 user,encore software,19.99,b000bwa1jw
379,mavis beacon typing 17 (win/mac),mavis beacon typing 17 standard by broderbund,encore software,19.99,b000bwbu6u
380,apple garageband jam pack: world music,garageband jam pack: world music lets you assemble intriguing musical compositions from 300 apple loops from nearly every corner of the globe. rare and exotic instruments from asia africa the middle east india europe the united kingdom south and central america cuba and jamaica are all at your fingertips. over 3000 apple loops and 40 software instruments add exotic flavor to your garageband compositions or add creative flair to projects in imovie idvd and iphoto. this is an auxiliary pack for owners of garageband (or logic express 7 or logic pro) software,apple,99.0,b000bwzxk4
381,apple mac os x tiger 10.4.6 family pack (mac),simply put apple mac os x tiger 10.4.6 will change the way you use a computer. breakthrough search technology stunning graphics and media unparalleled connectivity an intuitive user interface and a virtual toolbox chock full of cleverly integrated features -- all atop a rock-solid unix foundation -- give you the most innovative stable and compatible desktop operating system on the planet. period. note: this is the family pack bundle. you can also purchase a single license for mac os x tiger 10.4.6. the new dashboard hosts nifty mini-applications called widgets that keep you informed. spotlight is a lightning-fast search technology that illuminates every corner of your mac. view larger. safari boasts powerful rss support. see more safari features. ichat av supports multi-party high-quality video conferencing. quicktime 7 features user-friendly controls and pristine h.264 video. mac os x tiger is the most family-friendly operating system ever developed thanks to parental controls. view email protection. dashboard: get info in a dash the new dashboard hosts nifty mini-applications called widgets that appear instantly and keep you up to date with timely information from the internet. view stocks check weather forecasts track flights convert currency and units of measure even look up businesses in the phone book. similar to exposè the dashboard zooms across your desktop at the click of a function key. your favorite widgets appear with up-to-the-second information then disappear just as easily so you can get back to what you were doing. dashboard is home to widgets: mini-applications that let you perform common tasks and provide you with fast access to information. with a single click dashboard appears complete with widgets that bring you a world of information -- real-time weather stock tickers flight information and more -- instantly. dashboard lets you play pause skip forward and backward through songs in your itunes music library using a simplified controller. you can view weather conditions around the world or check temperatures expected highs and lows and a six-day forecasts of cities around the world. a translator widget lets you translate words and phrases instantly between english chinese dutch french german greek italian japanese korean portuguese and russian. and you can use dashboard to search the phone directory by name or category to display the phone numbers and addresses for publicly listed u.s. businesses in your area. and best of all dashboard disappears just as easily as it appears so you can get back to what you were doing. tiger includes a suite of widgets to get you started and you can add more anytime. with so many widgets at your disposal the widget bar comes in handy. click the plus sign and dashboard launches a widget bar displaying every available widget. drag widgets from the bar to the dashboard and watch as they appear with a cool ripple effect. once you have your widgets where you want them just close the widget bar with a single click. spotlight: find anything fast tiger introduces spotlight the lightening-fast search technology that illuminates every corner of your mac displaying results as fast as you type. search everything on your system: files emails contacts images movies calendars and applications appear instantly. just as you find songs on itunes by name artist or album spotlight results take you way beyond mere filename and location: they include all the metadata inside files including the kind of content the author edit history format size and many more details. spotlight for mac os x tiger lets you blaze through your files and applications and see results as soon as you type the very first letter. that's because spotlight indexes files on your computer transparently and in the background so you never experience lag times or slowdowns. and when you make a change such as adding a new file receiving an email or entering a new contact spotlight updates its index automatically so search results are always up-to-the-moment accurate. spotlight even ensures that others only search for what they're allowed to find. files they shouldn't see never appear in spotlight search results keeping your data safe from prying eyes. when you search via spotlight you're actually accessing a comprehensive constantly updated index that sees all the metadata inside supported files -- the what when and who of every piece of information saved on your mac. most documents including microsoft word documents photoshop images and emails already contain rich metadata. and because spotlight indexes content as well your search results include what appears inside a file or document not just its title. you can also use descriptive words to get amazingly targeted results even across thousands of files. for example to find everything from a colleague type the person's name. spotlight returns documents she authored or edited images she emailed messages she wrote (and messages you sent to her) and her contact information. you see results in sorted categories for easy browsing picking and clicking. tiger: your communications center tiger turns your mac into a communications hub. safari rss for tiger features built-in rss feed detection and display. mail and address book incorporate spotlight technology to help you organize your contacts and correspondence. and ichat av lets you video conference audio chat or send instant messages with friends and colleagues. add a .mac account and make the most of tiger connectivity with idisk storage a mac.com email address your own home page and powerful syncing capability. works well with others mac os x tiger boasts better compatibility than any other desktop operating system in the world. you can share files with windows users connect to any network and communicate automatically with other macs using bonjour technology. and thanks to its solid unix foundation tiger offers a powerful security architecture that protects your data from prying eyes. experience mac os x tiger for yourself and see how it changes the way you work play search and share on a mac. can't find what you need? spotlight makes fruitless searches a thing of the past. think you can't write an automated script? try automator and think again. want to share media with friends and family? tiger's integrated features make it simple. in fact tiger offers a feature for every reason you use a computer and then some.,apple computer,199.0,b000bx0006
383,apple final cut express hd 3.5 (mac),final cut express hd 3.5 delivers the advanced moviemaking power you need to create the most dynamic and dramatic effects ever seen in a film. get all the tools you need to create fantastic digital video (dv) or high-definition video (hdv) projects. final cut express hd supports an unlimited number of video tracks plus amazing real-time special effects and transitions. you also get powerful tools like color correction and matting. full keyframe control over effects and motion parameters advance your filmmaking while dynamic real-time effects and new versions of livetype and soundtrack let you add dazzling titles objects and text effects. universal application now runs natively on both intel- and powerpc-based macs. mix up to 99 audio tracks in your movie and further enhance your audio with real-time volume and audio filter adjustments soundtrack 1.5 helps you create an original music score for your movie -- no professional musical experience necessary imovie projects can be opened in final cut express hd with all their effects transitions and audio levels intact output your project back to a dv or hdv device for direct playback save your projects as a quicktime movie for distribution over the web or export it to idvd more professional templates for dv and hdv projects new vector-based animated livefonts more animated objects and textures 60 new text effects system requirements - powerpc g4 or g5 500mhz or faster; 512mb ram; agp or pci express quartz extreme graphics card; monitor with 1024 x 768 display; 500mb hard drive space; quicktime 7.0.4 or later; dvd drive,apple computer,299.0,b000bx24o6
385,emedia print music 2006 win/mac,printmusic! is simply the best entry level notation software. consider it a word processor for printing music notes instead of text. designed for the less demanding user printmusic! is easy to use and fun to learn. it was developed for the budding composer and works with both midi and acoustic instruments. no other notation software provides output of such exceptional quality for such a low price. you can do everything you need to create play back and print publisher-quality sheet music up to 24 staves. special set-up wizard helps you create a full score for your music composition. if only mozart had this! use hyperscribe to enter notes from your midi keyboard speedy note entry clicks in notes from your computer keyboard or midi keyboard print in color post your score on the internet and export midi files smart expressions make tempo markings easy works with windows pc and macintosh computers - pc - windows 98/2000/nt/me/xp monitor with 800x600 resolution cd-rom drive 256mb ram minimum (depending on os) 200mb hard drive space required for software and user manual / macintosh - g4 and os x recommended. os 10.2 and higher or 9.0.4 - 9.2.2 (9.2 recommended) monitor with 800x600 resolution cd-rom drive 256mb ram recommended (128 mb may be sufficient in os 9) 200 mb hard drive space required for software and user manual.,makemusic!,69.99,b000bx441w
386,apple shake 4.1 visual effects (mac),shake 4.1 lets you leverage the creative work you're producing in final cut studio even on the tight production budgets. shake provides the only compositing software with a complete toolset for both single artists and visual effects facilities -- the combination produces the world's most celebrated visual effects. use shake to create convincing photorealistic hollywood-caliber visual effects -- all on a desktop.,apple computer,499.0,b000bx5ggy
388,virusbarrier x4 10.4 for mac-10 users,virusbarrier x4 10.4 for mac os x - 10 users (mac 10.2.8 or later),intego,329.95,b000c55alw
389,firstedge v 2.0 (mac),firstedge 2 helps you keep your business checking accounts in order. it provides all the basic accounting and business management needs of your small business in an easy to use easy to understand package. track your expenses create sales invoices keep your customer information handy and provide all the reports you or your accountant need for tax reporting. a host of preferences under the setup menu lets you perform you accounting and management chores your way,myob us,99.95,b000cabe4y
390,boomerang webpage designer gold,webpage designer gold offers you the most in web authoring system software. includes the latest and newest features in web authoring and design. creating an informational web site has never been easier! maximize your web presence potential be limited by only your imagination. it's got everything you need for website creation management and publishing!,boomerang,0.0,b000cbn9aa
391,boomerang webshop platinum,webshop platinum offers you the most in web authoring system software. create an e-commerce web site in no time without technical training. webshop platinum offers everything you need: a fully featured site manager store templates database import wizards html themes and styles thumbnail photo viewer free-form page design and more. all the sophistication you need in a simple and easy to use program. it's the most complete and affordable e-commerce solution around! page hit reporting site archive and rollback & free web hosting test account,boomerang,0.0,b000cbqbby
